mass	logL	logT
0.120	-2.8096	3.484
0.130	-1.869	3.5050
0.500	-1.3565	3.6040
0.520	-1.3051	3.6076
0.540	-1.2536	3.6113
0.562	-1.2021	3.6149
0.584	-1.1506	3.6185
0.607	-1.0946	3.6230
0.632	-1.0286	3.6294
0.657	-0.9626	3.6359
0.683	-0.8966	3.6423
0.710	-0.8264	3.6507
0.738	-0.7487	3.6626
0.767	-0.6709	3.6745
0.798	-0.5931	3.6863
0.829	-0.5134	3.6987
0.862	-0.4334	3.7111
0.896	-0.3535	3.7235
0.932	-0.2728	3.7349
0.969	-0.1921	3.7463
1.007	-0.1144	3.7568
1.047	-0.0497	3.7637
1.089	0.0150	3.7707
1.132	0.0932	3.7799
1.177	0.1754	3.7899
1.224	0.2579	3.7992
1.272	0.3403	3.8086
1.323	0.4203	3.8183
1.375	0.5001	3.8280
1.430	0.5784	3.8392
1.487	0.6554	3.8514
1.546	0.7302	3.8661
1.607	0.8043	3.8816
1.671	0.8769	3.8973
1.737	0.9483	3.9123
1.806	1.0188	3.9270
1.878	1.0892	3.9413
1.952	1.1585	3.9551
2.030	1.2269	3.9685
2.110	1.2948	3.9815
2.194	1.3621	3.9942
2.281	1.4293	4.0067
2.372	1.4960	4.0190
2.466	1.5622	4.0310
2.564	1.6279	4.0428
2.665	1.6935	4.0546
2.771	1.7590	4.0663
2.881	1.8245	4.0779
2.995	1.8890	4.0892
3.114	1.9536	4.1006
3.238	2.0180	4.1119
3.366	2.0819	4.1231
3.500	2.1453	4.1341
